function	ID	start	stop
colibactin	GM1	1744607	1797364
virB	GM2	1800000	1818000
yersiniabactin	GM3	1818000	1848000
unknown	GM4	1848000	1883500
microcin	GM6	1885500	1907000
unknown	GM7	1907782	1921500
unknown	GM8	1923000	1952189
